"city_ID","scientific_name","city","state","district","native","greater_metro","tree_ID","planted_date","most_recent_observation","retired_date","most_recent_observation_type","common_name","longitude_coordinate","latitude_coordinate","location_type","zipcode","address","neighborhood","location_name","ward","overhead_utility","diameter_breast_height_CM","condition","height_M","height_binned_M","diameter_breast_height_binned_CM","percent_population"
377,"Quercus rubra","Jersey City","New Jersey",NA,"naturally_occurring","Jerseycity",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
392,"Quercus rubra","Jersey City","New Jersey",NA,"naturally_occurring","Jerseycity",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
396,"Quercus rubra","Jersey City","New Jersey",NA,"naturally_occurring","Jerseycity",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
406,"Quercus rubra","Jersey City","New Jersey",NA,"naturally_occurring","Jerseycity",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
423,"Quercus rubra","Jersey City","New Jersey",NA,"naturally_occurring","Jerseycity",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
432,"Quercus rubra","Jersey City","New Jersey",NA,"naturally_occurring","Jerseycity",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
445,"Quercus bicolor","Jersey City","New Jersey",NA,"naturally_occurring","Jerseycity",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
478,"Quercus rubra","Jersey City","New Jersey",NA,"naturally_occurring","Jerseycity",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
482,"Quercus rubra","Jersey City","New Jersey",NA,"naturally_occurring","Jerseycity",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
485,"Quercus rubra","Jersey City","New Jersey",NA,"naturally_occurring","Jerseycity",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
524,"Quercus bicolor","Jersey City","New Jersey",NA,"naturally_occurring","Jerseycity",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
536,"Quercus bicolor","Jersey City","New Jersey",NA,"naturally_occurring","Jerseycity",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
545,"Quercus bicolor","Jersey City","New Jersey",NA,"naturally_occurring","Jerseycity",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
547,"Quercus bicolor","Jersey City","New Jersey",NA,"naturally_occurring","Jerseycity",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
578,"Thuja occidentalis","Jersey City","New Jersey",NA,"naturally_occurring","Jerseycity",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
581,"Thuja occidentalis","Jersey City","New Jersey",NA,"naturally_occurring","Jerseycity",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
590,"Thuja occidentalis","Jersey City","New Jersey",NA,"naturally_occurring","Jerseycity",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
645,"Thuja occidentalis","Jersey City","New Jersey",NA,"naturally_occurring","Jerseycity",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
648,"Thuja occidentalis","Jersey City","New Jersey",NA,"naturally_occurring","Jerseycity",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
653,"Thuja occidentalis","Jersey City","New Jersey",NA,"naturally_occurring","Jerseycity",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
682,"Tilia cordata","Jersey City","New Jersey",NA,"introduced","Jerseycity",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
698,"Tilia cordata","Jersey City","New Jersey",NA,"introduced","Jerseycity",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
770,"Zelkova serrata","Jersey City","New Jersey",NA,"introduced","Jerseycity",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
35,"Acer saccharum","Jersey City","New Jersey",NA,"naturally_occurring","Jerseycity",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
39,"Acer saccharum","Jersey City","New Jersey",NA,"naturally_occurring","Jerseycity",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
518,"Quercus bicolor","Jersey City","New Jersey",NA,"naturally_occurring","Jerseycity",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
140,"Amelanchier laevis","Jersey City","New Jersey",NA,"naturally_occurring","Jerseycity",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
167,"Cercis canadensis","Jersey City","New Jersey",NA,"naturally_occurring","Jerseycity",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
137,"Amelanchier canadensis","Jersey City","New Jersey",NA,"naturally_occurring","Jerseycity",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
102,"Acer rubrum","Jersey City","New Jersey",NA,"naturally_occurring","Jerseycity",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
116,"Acer rubrum","Jersey City","New Jersey",NA,"naturally_occurring","Jerseycity",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
77,"Acer rubrum","Jersey City","New Jersey",NA,"naturally_occurring","Jerseycity",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
89,"Acer rubrum","Jersey City","New Jersey",NA,"naturally_occurring","Jerseycity",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
87,"Acer rubrum","Jersey City","New Jersey",NA,"naturally_occurring","Jerseycity",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
230,"Juniperus virginiana","Jersey City","New Jersey",NA,"naturally_occurring","Jerseycity",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
268,"Liquidambar styraciflua","Jersey City","New Jersey",NA,"naturally_occurring","Jerseycity",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
363,"Pseudotsuga menziesii","Jersey City","New Jersey",NA,"introduced","Jerseycity",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
388,"Quercus rubra","Jersey City","New Jersey",NA,"naturally_occurring","Jerseycity",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
438,"Quercus rubra","Jersey City","New Jersey",NA,"naturally_occurring","Jerseycity",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
210,"Juniperus virginiana","Jersey City","New Jersey",NA,"naturally_occurring","Jerseycity",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
183,"Cornus florida","Jersey City","New Jersey",NA,"naturally_occurring","Jerseycity",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
302,"Platanus occidentalis","Jersey City","New Jersey",NA,"naturally_occurring","Jerseycity",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
294,"Nyssa sylvatica","Jersey City","New Jersey",NA,"naturally_occurring","Jerseycity",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
273,"Magnolia virginiana","Jersey City","New Jersey",NA,"naturally_occurring","Jerseycity",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
457,"Quercus bicolor","Jersey City","New Jersey",NA,"naturally_occurring","Jerseycity",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
441,"Quercus rubra","Jersey City","New Jersey",NA,"naturally_occurring","Jerseycity",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
549,"Quercus bicolor","Jersey City","New Jersey",NA,"naturally_occurring","Jerseycity",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
619,"Thuja occidentalis","Jersey City","New Jersey",NA,"naturally_occurring","Jerseycity",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
692,"Tilia cordata","Jersey City","New Jersey",NA,"introduced","Jerseycity",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
679,"Tilia cordata","Jersey City","New Jersey",NA,"introduced","Jerseycity",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
689,"Tilia cordata","Jersey City","New Jersey",NA,"introduced","Jerseycity",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
100,"Acer rubrum","Jersey City","New Jersey",NA,"naturally_occurring","Jerseycity",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
111,"Acer rubrum","Jersey City","New Jersey",NA,"naturally_occurring","Jerseycity",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
124,"Amelanchier canadensis","Jersey City","New Jersey",NA,"naturally_occurring","Jerseycity",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
258,"Juniperus virginiana","Jersey City","New Jersey",NA,"naturally_occurring","Jerseycity",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
260,"Juniperus virginiana","Jersey City","New Jersey",NA,"naturally_occurring","Jerseycity",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
283,"Malus","Jersey City","New Jersey",NA,"no_info","Jerseycity",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
289,"Nyssa sylvatica","Jersey City","New Jersey",NA,"naturally_occurring","Jerseycity",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
292,"Nyssa sylvatica","Jersey City","New Jersey",NA,"naturally_occurring","Jerseycity",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
296,"Nyssa sylvatica","Jersey City","New Jersey",NA,"naturally_occurring","Jerseycity",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
305,"Platanus occidentalis","Jersey City","New Jersey",NA,"naturally_occurring","Jerseycity",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
313,"Platanus occidentalis","Jersey City","New Jersey",NA,"naturally_occurring","Jerseycity",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
382,"Quercus rubra","Jersey City","New Jersey",NA,"naturally_occurring","Jerseycity",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
398,"Quercus rubra","Jersey City","New Jersey",NA,"naturally_occurring","Jerseycity",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
417,"Quercus rubra","Jersey City","New Jersey",NA,"naturally_occurring","Jerseycity",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
484,"Quercus rubra","Jersey City","New Jersey",NA,"naturally_occurring","Jerseycity",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
492,"Quercus rubra","Jersey City","New Jersey",NA,"naturally_occurring","Jerseycity",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
502,"Quercus bicolor","Jersey City","New Jersey",NA,"naturally_occurring","Jerseycity",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
560,"Quercus bicolor","Jersey City","New Jersey",NA,"naturally_occurring","Jerseycity",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
583,"Thuja occidentalis","Jersey City","New Jersey",NA,"naturally_occurring","Jerseycity",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
585,"Thuja occidentalis","Jersey City","New Jersey",NA,"naturally_occurring","Jerseycity",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
600,"Thuja occidentalis","Jersey City","New Jersey",NA,"naturally_occurring","Jerseycity",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
610,"Thuja occidentalis","Jersey City","New Jersey",NA,"naturally_occurring","Jerseycity",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
621,"Thuja occidentalis","Jersey City","New Jersey",NA,"naturally_occurring","Jerseycity",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
631,"Thuja occidentalis","Jersey City","New Jersey",NA,"naturally_occurring","Jerseycity",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
634,"Thuja occidentalis","Jersey City","New Jersey",NA,"naturally_occurring","Jerseycity",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
667,"Thuja occidentalis","Jersey City","New Jersey",NA,"naturally_occurring","Jerseycity",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
670,"Thuja occidentalis","Jersey City","New Jersey",NA,"naturally_occurring","Jerseycity",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
691,"Tilia cordata","Jersey City","New Jersey",NA,"introduced","Jerseycity",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
722,"Tilia cordata","Jersey City","New Jersey",NA,"introduced","Jerseycity",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
744,"Tilia cordata","Jersey City","New Jersey",NA,"introduced","Jerseycity",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
