"city_ID","common_name","scientific_name","city","state","location_type","ward","diameter_breast_height_CM","condition","native","diameter_breast_height_binned_CM","greater_metro","tree_ID","planted_date","most_recent_observation","retired_date","most_recent_observation_type","longitude_coordinate","latitude_coordinate","zipcode","address","neighborhood","location_name","district","overhead_utility","height_M","height_binned_M","percent_population"
1568,NA,NA,"Richmond","Virginia","no_info","Council district 5",NA,NA,"no_info",NA,"Richmond",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1569,NA,NA,"Richmond","Virginia","no_info","Council district 5",NA,NA,"no_info",NA,"Richmond",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1570,NA,NA,"Richmond","Virginia","no_info","Council district 5",NA,NA,"no_info",NA,"Richmond",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1571,NA,NA,"Richmond","Virginia","no_info","Council district 5",NA,NA,"no_info",NA,"Richmond",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1572,NA,NA,"Richmond","Virginia","green_space","Council district 5",NA,NA,"no_info",NA,"Richmond",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1573,NA,NA,"Richmond","Virginia","no_info","Council district 5",NA,NA,"no_info",NA,"Richmond",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1574,NA,NA,"Richmond","Virginia","no_info","Council district 5",NA,NA,"no_info",NA,"Richmond",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1575,NA,NA,"Richmond","Virginia","no_info","Council district 5",NA,NA,"no_info",NA,"Richmond",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1576,NA,NA,"Richmond","Virginia","no_info","Council district 5",NA,NA,"no_info",NA,"Richmond",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1577,NA,NA,"Richmond","Virginia","no_info","Council district 5",NA,NA,"no_info",NA,"Richmond",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1578,NA,NA,"Richmond","Virginia","no_info","Council district 5",NA,NA,"no_info",NA,"Richmond",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1579,NA,NA,"Richmond","Virginia","no_info","Council district 5",NA,NA,"no_info",NA,"Richmond",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1580,NA,NA,"Richmond","Virginia","no_info","Council district 5",NA,NA,"no_info",NA,"Richmond",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1581,NA,NA,"Richmond","Virginia","no_info","Council district 5",NA,NA,"no_info",NA,"Richmond",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1582,NA,NA,"Richmond","Virginia","no_info","Council district 5",NA,NA,"no_info",NA,"Richmond",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1583,NA,NA,"Richmond","Virginia","no_info","Council district 5",NA,NA,"no_info",NA,"Richmond",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1584,NA,NA,"Richmond","Virginia","no_info","Council district 6",NA,NA,"no_info",NA,"Richmond",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1585,NA,NA,"Richmond","Virginia","no_info","Council district 5",NA,NA,"no_info",NA,"Richmond",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1586,NA,NA,"Richmond","Virginia","no_info","Council district 5",NA,NA,"no_info",NA,"Richmond",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1587,NA,NA,"Richmond","Virginia","no_info","Council district 5",NA,NA,"no_info",NA,"Richmond",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1588,NA,NA,"Richmond","Virginia","green_space","Council district 6",NA,NA,"no_info",NA,"Richmond",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1589,NA,NA,"Richmond","Virginia","no_info","Council district 6",NA,NA,"no_info",NA,"Richmond",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1590,NA,NA,"Richmond","Virginia","green_space","Council district 6",NA,NA,"no_info",NA,"Richmond",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1591,NA,NA,"Richmond","Virginia","green_space","Council district 6",NA,NA,"no_info",NA,"Richmond",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1592,NA,NA,"Richmond","Virginia","no_info","Council district 6",NA,NA,"no_info",NA,"Richmond",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1593,NA,NA,"Richmond","Virginia","no_info","Council district 6",NA,NA,"no_info",NA,"Richmond",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1594,NA,NA,"Richmond","Virginia","green_space","Council district 6",NA,NA,"no_info",NA,"Richmond",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1595,NA,NA,"Richmond","Virginia","green_space","Council district 6",NA,NA,"no_info",NA,"Richmond",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1596,NA,NA,"Richmond","Virginia","no_info","Council district 8",NA,NA,"no_info",NA,"Richmond",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1597,NA,NA,"Richmond","Virginia","no_info","Council district 8",NA,NA,"no_info",NA,"Richmond",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1598,NA,NA,"Richmond","Virginia","no_info","Council district 8",NA,NA,"no_info",NA,"Richmond",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1599,NA,NA,"Richmond","Virginia","no_info","Council district 8",NA,NA,"no_info",NA,"Richmond",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1600,"Chinese pistache","Pistacia chinensis","Richmond","Virginia","no_info","Council district 6",12.7,"fair","introduced","0 to 15.24 cm","Richmond",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1601,NA,NA,"Richmond","Virginia","no_info","Council district 6",NA,NA,"no_info",NA,"Richmond",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1602,"Norway maple","Acer platanoides","Richmond","Virginia","no_info","Council district 6",20.32,"poor","introduced","15.24 to 30.48 cm","Richmond",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1603,NA,NA,"Richmond","Virginia","no_info","Council district 6",NA,NA,"no_info",NA,"Richmond",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1604,"Hedge maple","Acer campestre","Richmond","Virginia","no_info","Council district 6",12.7,"fair","introduced","0 to 15.24 cm","Richmond",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1605,NA,NA,"Richmond","Virginia","no_info","Council district 6",NA,NA,"no_info",NA,"Richmond",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1606,NA,NA,"Richmond","Virginia","no_info","Council district 6",NA,NA,"no_info",NA,"Richmond",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1607,NA,NA,"Richmond","Virginia","no_info","Council district 6",NA,NA,"no_info",NA,"Richmond",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1608,"Chinese pistache","Pistacia chinensis","Richmond","Virginia","no_info","Council district 6",5.08,"fair","introduced","0 to 15.24 cm","Richmond",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1609,NA,NA,"Richmond","Virginia","no_info","Council district 8",NA,NA,"no_info",NA,"Richmond",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1610,NA,NA,"Richmond","Virginia","no_info","Council district 8",NA,NA,"no_info",NA,"Richmond",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
