"city_ID","most_recent_observation","most_recent_observation_type","common_name","scientific_name","city","state","longitude_coordinate","latitude_coordinate","location_type","overhead_utility","condition","native","diameter_breast_height_binned_CM","greater_metro","tree_ID","planted_date","retired_date","zipcode","address","neighborhood","location_name","ward","district","diameter_breast_height_CM","height_M","height_binned_M","percent_population"
72542,"9/16/2013","inventory_date","Green ash","Fraxinus pennsylvanica","Waukee","Iowa",-93.87499261,41.61294419,"green_space","No lines","good","naturally_occurring","0 to 15.24 cm","DesMoines",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
72543,"10/10/2013","inventory_date","Apple","Malus","Waukee","Iowa",-93.87241035,41.60758455,"green_space","Yes and not conflicting","fair","no_info","0 to 15.24 cm","DesMoines",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
72544,"10/10/2013","inventory_date","Norway maple","Acer platanoides","Waukee","Iowa",-93.84496642,41.60848114,"green_space","No lines","dead/dying","introduced","0 to 15.24 cm","DesMoines",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
72545,"10/21/2013","inventory_date","Green ash","Fraxinus pennsylvanica","Waukee","Iowa",-93.8797931,41.60369101,"green_space","No lines","fair","naturally_occurring","60.96 to 76.2 cm","DesMoines",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
72546,"10/10/2013","inventory_date","Northern hackberry","Celtis occidentalis","Waukee","Iowa",-93.84542192,41.60616616,"green_space","No lines","poor","naturally_occurring","0 to 15.24 cm","DesMoines",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
72547,"10/21/2013","inventory_date","White ash","Fraxinus americana","Waukee","Iowa",-93.87655348,41.60381623,"green_space","No lines","fair","naturally_occurring","45.72 to 60.96 cm","DesMoines",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
72548,"10/11/2013","inventory_date","Green ash","Fraxinus pennsylvanica","Waukee","Iowa",-93.8770652,41.60452576,"green_space","No lines","good","naturally_occurring","45.72 to 60.96 cm","DesMoines",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
72549,"10/10/2013","inventory_date","Northern hackberry","Celtis occidentalis","Waukee","Iowa",-93.84463217,41.60514281,"green_space","No lines","good","naturally_occurring","15.24 to 30.48 cm","DesMoines",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
72550,"10/21/2013","inventory_date","White ash","Fraxinus americana","Waukee","Iowa",-93.87547506,41.60381551,"green_space","No lines","fair","naturally_occurring","45.72 to 60.96 cm","DesMoines",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
72551,"10/11/2013","inventory_date","Green ash","Fraxinus pennsylvanica","Waukee","Iowa",-93.87892813,41.6045239,"green_space","No lines","good","naturally_occurring","more than 76.2 cm","DesMoines",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
72552,"10/10/2013","inventory_date","Norway maple","Acer platanoides","Waukee","Iowa",-93.84398859,41.6018379,"green_space","No lines","good","introduced","0 to 15.24 cm","DesMoines",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
72553,"9/16/2013","inventory_date","Littleleaf linden","Tilia cordata","Waukee","Iowa",-93.84063909,41.60807643,"green_space","No lines","good","introduced","0 to 15.24 cm","DesMoines",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
72554,"10/7/2013","inventory_date","Northern hackberry","Celtis occidentalis","Guthrie Center","Iowa",-94.49721733,41.67638933,"green_space","Yes and not conflicting","good","naturally_occurring","more than 76.2 cm","DesMoines",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
72555,"10/8/2013","inventory_date","Green ash","Fraxinus pennsylvanica","Guthrie Center","Iowa",-94.50531867,41.68104767,"green_space","No lines","good","naturally_occurring","30.48 to 45.72 cm","DesMoines",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
72556,"10/8/2013","inventory_date","Siberian elm","Ulmus pumila","Guthrie Center","Iowa",-94.49554433,41.67777633,"green_space","Yes and not conflicting","good","introduced","0 to 15.24 cm","DesMoines",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
72557,"10/7/2013","inventory_date","Northern hackberry","Celtis occidentalis","Guthrie Center","Iowa",-94.50116367,41.67659833,"green_space","Yes and not conflicting","good","naturally_occurring","more than 76.2 cm","DesMoines",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
72558,"10/8/2013","inventory_date","Austrian pine","Pinus nigra","Guthrie Center","Iowa",-94.50340233,41.67875567,"green_space","No lines","good","introduced","30.48 to 45.72 cm","DesMoines",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
72567,"10/17/2013","inventory_date","Red maple","Acer rubrum","Polk City","Iowa",-93.70986667,41.76224567,"green_space","No lines","good","naturally_occurring","0 to 15.24 cm","DesMoines",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
72568,"10/15/2013","inventory_date","Apple","Malus","Polk City","Iowa",-93.71535033,41.774322,"green_space","No lines","good","no_info","0 to 15.24 cm","DesMoines",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
72569,"10/17/2013","inventory_date","Apple","Malus","Polk City","Iowa",-93.70695533,41.763062,"green_space","No lines","good","no_info","0 to 15.24 cm","DesMoines",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
72570,"10/17/2013","inventory_date","Apple","Malus","Polk City","Iowa",-93.710105,41.76046434,"green_space","No lines","good","no_info","0 to 15.24 cm","DesMoines",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
72571,"10/15/2013","inventory_date","Apple","Malus","Polk City","Iowa",-93.72573167,41.77661767,"green_space","No lines","good","no_info","15.24 to 30.48 cm","DesMoines",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
72572,"10/15/2013","inventory_date","Sugar maple","Acer saccharum","Polk City","Iowa",-93.72836633,41.77703667,"green_space","No lines","good","naturally_occurring","15.24 to 30.48 cm","DesMoines",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
72590,"8/6/2013","inventory_date","Sugar maple","Acer saccharum","Adair","Iowa",-94.64161502,41.50147957,"green_space","No lines","good","naturally_occurring","more than 76.2 cm","DesMoines",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
72591,"8/7/2013","inventory_date","Eastern red cedar","Juniperus virginiana","Adair","Iowa",-94.64600949,41.50192039,"green_space","No lines","good","naturally_occurring","45.72 to 60.96 cm","DesMoines",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
