"city_ID","planted_date","most_recent_observation","most_recent_observation_type","common_name","scientific_name","city","state","longitude_coordinate","latitude_coordinate","zipcode","address","neighborhood","location_name","diameter_breast_height_CM","condition","height_M","native","height_binned_M","diameter_breast_height_binned_CM","greater_metro","tree_ID","retired_date","location_type","ward","district","overhead_utility","percent_population"
2847560,NA,"03/30/2020","edit_date","American elm","Ulmus americana","Durham","North Carolina",-78.90134489,36.00075609,27701,"505 Rigsbee Ave","Downtown",NA,12.7,"good",NA,"naturally_occurring",NA,"0 to 15.24 cm","Durham",NA,NA,NA,NA,NA,NA,NA
2847566,NA,"03/30/2020","edit_date","Red maple","Acer rubrum","Durham","North Carolina",-78.90133627,36.00084691,27701,"534 Foster St","Downtown",NA,12.7,"good",NA,"naturally_occurring",NA,"0 to 15.24 cm","Durham",NA,NA,NA,NA,NA,NA,NA
2846882,NA,"03/30/2020","edit_date","Chinese redbud","Cercis chinensis","Durham","North Carolina",-78.89631752,35.9908863,27701,NA,"Downtown",NA,12.7,"good",NA,"introduced",NA,"0 to 15.24 cm","Durham",NA,NA,NA,NA,NA,NA,NA
2850508,NA,"03/30/2020","edit_date","Japanese zelkova","Zelkova serrata","Durham","North Carolina",-78.93343225,36.01494368,27705,"2802 Lawndale Ave","Old west durham",NA,12.7,"good",NA,"introduced",NA,"0 to 15.24 cm","Durham",NA,NA,NA,NA,NA,NA,NA
2846896,NA,"03/30/2020","edit_date","Chinese pistache","Pistacia chinensis","Durham","North Carolina",-78.8969703,35.99267236,27701,"400 E Main St","Downtown",NA,12.7,"good",NA,"introduced",NA,"0 to 15.24 cm","Durham",NA,NA,NA,NA,NA,NA,NA
2850573,NA,"03/30/2020","edit_date","Eastern red cedar","Juniperus virginiana","Durham","North Carolina",-78.93127235,36.01361527,27705,"2701ÃƒÆ’Ã†â€™Ãƒâ€ Ã¢â‚¬â„¢ÃƒÆ’Ã¢â‚¬Å¡Ãƒâ€šÃ‚Â2799 W Knox St","Old west durham",NA,12.7,"good",NA,"naturally_occurring",NA,"0 to 15.24 cm","Durham",NA,NA,NA,NA,NA,NA,NA
2270582,NA,"06/28/2020","edit_date","Trident maple","Acer buergerianum","Durham","North Carolina",-78.8973438,36.02221782,27704,"462 W Lavender Ave",NA,"Northgate park",12.7,"excellent",NA,"introduced",NA,"0 to 15.24 cm","Durham",NA,NA,NA,NA,NA,NA,NA
2846700,NA,"03/30/2020","edit_date","River birch","Betula nigra","Durham","North Carolina",-78.89368191,35.998218,27701,"707 N Queen St","Downtown",NA,12.7,"good",NA,"naturally_occurring",NA,"0 to 15.24 cm","Durham",NA,NA,NA,NA,NA,NA,NA
2847144,NA,"03/30/2020","edit_date","Common crapemyrtle","Lagerstroemia","Durham","North Carolina",-78.90550107,36.00234849,27701,"325 Fuller St","Downtown",NA,12.7,"good",NA,"no_info",NA,"0 to 15.24 cm","Durham",NA,NA,NA,NA,NA,NA,NA
2940413,"2019to2020","03/05/2020","edit_date","Common crapemyrtle","Lagerstroemia","Durham","North Carolina",-78.89883075,36.00384434,27701,NA,"Downtown",NA,2.54,"good",NA,"no_info",NA,"0 to 15.24 cm","Durham",NA,NA,NA,NA,NA,NA,NA
2852496,NA,"03/30/2020","edit_date","Hawthorn","Crataegus","Durham","North Carolina",-78.90011329,36.01420951,27701,"1412ÃƒÆ’Ã†â€™Ãƒâ€ Ã¢â‚¬â„¢ÃƒÆ’Ã¢â‚¬Å¡Ãƒâ€šÃ‚Â1510 Arbor St",NA,NA,7.62,"fair",NA,"no_info",NA,"0 to 15.24 cm","Durham",NA,NA,NA,NA,NA,NA,NA
2850258,NA,"03/30/2020","edit_date","Eastern redbud","Cercis canadensis","Durham","North Carolina",-78.92852649,36.01205271,27705,"2505 Green St","Old west durham",NA,12.7,"good",NA,"naturally_occurring",NA,"0 to 15.24 cm","Durham",NA,NA,NA,NA,NA,NA,NA
2304471,NA,"03/30/2020","edit_date","Elm","Ulmus","Durham","North Carolina",-78.90639827,36.00865935,27701,"907 Urban Ave","Walltown",NA,12.7,"good",NA,"no_info",NA,"0 to 15.24 cm","Durham",NA,NA,NA,NA,NA,NA,NA
2839996,NA,"03/30/2020","edit_date","Sweetgum","Liquidambar styraciflua","Durham","North Carolina",-78.88433725,35.98877365,27703,"600ÃƒÆ’Ã†â€™Ãƒâ€ Ã¢â‚¬â„¢ÃƒÆ’Ã¢â‚¬Å¡Ãƒâ€šÃ‚Â798 Mcneil Ln","Old east durham",NA,12.7,"good",NA,"naturally_occurring",NA,"0 to 15.24 cm","Durham",NA,NA,NA,NA,NA,NA,NA
2850273,NA,"03/30/2020","edit_date","Persian ironwood","Parrotia persica","Durham","North Carolina",-78.93015526,36.01317684,27705,NA,"Old west durham",NA,12.7,"good",NA,"introduced",NA,"0 to 15.24 cm","Durham",NA,NA,NA,NA,NA,NA,NA
2847147,NA,"03/30/2020","edit_date","Trident maple","Acer buergerianum","Durham","North Carolina",-78.90610725,36.00234903,27701,"W Corporation St","Downtown",NA,12.7,"good",NA,"introduced",NA,"0 to 15.24 cm","Durham",NA,NA,NA,NA,NA,NA,NA
2847427,NA,"03/30/2020","edit_date","Trident maple","Acer buergerianum","Durham","North Carolina",-78.89357999,35.99003775,27701,"284 Walker St","Downtown",NA,12.7,"fair",NA,"introduced",NA,"0 to 15.24 cm","Durham",NA,NA,NA,NA,NA,NA,NA
2847431,NA,"03/30/2020","edit_date","Trident maple","Acer buergerianum","Durham","North Carolina",-78.89450267,35.98999869,27701,"209 Hood St","Downtown",NA,12.7,"poor",NA,"introduced",NA,"0 to 15.24 cm","Durham",NA,NA,NA,NA,NA,NA,NA
2249908,NA,"03/30/2020","edit_date","Willow oak","Quercus phellos","Durham","North Carolina",-78.91362682,36.00974529,27701,"801 Lancaster St","Walltown",NA,142.24,"fair",NA,"naturally_occurring",NA,"more than 76.2 cm","Durham",NA,NA,NA,NA,NA,NA,NA
2822702,"2017to2018","05/26/2020","edit_date","Chinese elm","Ulmus parvifolia","Durham","North Carolina",-78.88447732,35.98806237,27703,"300 N Blacknall St","Old east durham",NA,1.27,"excellent",NA,"introduced",NA,"0 to 15.24 cm","Durham",NA,NA,NA,NA,NA,NA,NA
2940414,"2019to2020","03/05/2020","edit_date","Common crapemyrtle","Lagerstroemia","Durham","North Carolina",-78.89877945,36.00384271,27701,NA,"Downtown",NA,2.54,"good",NA,"no_info",NA,"0 to 15.24 cm","Durham",NA,NA,NA,NA,NA,NA,NA
2305052,NA,"03/30/2020","edit_date","Red maple","Acer rubrum","Durham","North Carolina",-78.91095266,36.0065981,27701,"1093 Monmouth Ave","Walltown",NA,12.7,"excellent",NA,"naturally_occurring",NA,"0 to 15.24 cm","Durham",NA,NA,NA,NA,NA,NA,NA
2891262,NA,"03/30/2020","edit_date","Flowering dogwood","Cornus florida","Durham","North Carolina",-78.90111717,36.02328368,27704,"2509 Glendale Ave",NA,NA,12.7,"fair",NA,"naturally_occurring",NA,"0 to 15.24 cm","Durham",NA,NA,NA,NA,NA,NA,NA
2304459,NA,"03/30/2020","edit_date","Eastern redbud","Cercis canadensis","Durham","North Carolina",-78.90820044,36.0075489,27701,"702 North Gregson Street","Walltown",NA,12.7,"good",NA,"naturally_occurring",NA,"0 to 15.24 cm","Durham",NA,NA,NA,NA,NA,NA,NA
2852497,NA,"03/30/2020","edit_date","Hawthorn","Crataegus","Durham","North Carolina",-78.90011481,36.01415592,27701,"1412ÃƒÆ’Ã†â€™Ãƒâ€ Ã¢â‚¬â„¢ÃƒÆ’Ã¢â‚¬Å¡Ãƒâ€šÃ‚Â1510 Arbor St",NA,NA,10.16,"fair",NA,"no_info",NA,"0 to 15.24 cm","Durham",NA,NA,NA,NA,NA,NA,NA
2905825,NA,"03/30/2020","edit_date","Littleleaf linden","Tilia cordata","Durham","North Carolina",-78.90192367,35.99767956,27701,"201 Foster Street","Downtown",NA,12.7,"good",NA,"introduced",NA,"0 to 15.24 cm","Durham",NA,NA,NA,NA,NA,NA,NA
2934799,NA,"03/30/2020","edit_date","Eastern redbud","Cercis canadensis","Durham","North Carolina",-78.95002842,35.96095787,27707,"1334 Valley Run",NA,NA,12.7,"good",NA,"naturally_occurring",NA,"0 to 15.24 cm","Durham",NA,NA,NA,NA,NA,NA,NA
2832335,NA,"03/30/2020","edit_date","Trident maple","Acer buergerianum","Durham","North Carolina",-78.91426384,36.01148644,27705,"830 Onslow St","Walltown",NA,12.7,"good",NA,"introduced",NA,"0 to 15.24 cm","Durham",NA,NA,NA,NA,NA,NA,NA
2304383,NA,"03/30/2020","edit_date","Purple leaf plum","Prunus cerasifera","Durham","North Carolina",-78.90925616,36.00761571,27701,"1011 Dacian Ave","Walltown",NA,12.7,"good",NA,"introduced",NA,"0 to 15.24 cm","Durham",NA,NA,NA,NA,NA,NA,NA
2304194,NA,"03/30/2020","edit_date","Trident maple","Acer buergerianum","Durham","North Carolina",-78.91355628,36.01145127,27705,"1301-1305 Green Street","Walltown",NA,12.7,"good",NA,"introduced",NA,"0 to 15.24 cm","Durham",NA,NA,NA,NA,NA,NA,NA
2304837,NA,"03/30/2020","edit_date","Common crapemyrtle","Lagerstroemia","Durham","North Carolina",-78.90555739,36.00710257,27701,"804 N Duke St","Walltown",NA,12.7,"fair",NA,"no_info",NA,"0 to 15.24 cm","Durham",NA,NA,NA,NA,NA,NA,NA
2304834,NA,"03/30/2020","edit_date","Common crapemyrtle","Lagerstroemia","Durham","North Carolina",-78.90555605,36.00729893,27701,"836 N Duke St","Walltown",NA,12.7,"fair",NA,"no_info",NA,"0 to 15.24 cm","Durham",NA,NA,NA,NA,NA,NA,NA
2896030,NA,"03/30/2020","edit_date","Trident maple","Acer buergerianum","Durham","North Carolina",-78.87621506,36.00509732,27704,"1911 Fay St","Old east durham",NA,12.7,"good",NA,"introduced",NA,"0 to 15.24 cm","Durham",NA,NA,NA,NA,NA,NA,NA
2906115,NA,"03/30/2020","edit_date","Privet","Ligustrum","Durham","North Carolina",-78.91272793,36.01152847,27701,"1204 Green St","Walltown",NA,12.7,"good",NA,"no_info",NA,"0 to 15.24 cm","Durham",NA,NA,NA,NA,NA,NA,NA
2909941,NA,"03/30/2020","edit_date","Red maple","Acer rubrum","Durham","North Carolina",-78.86843753,35.99725491,27703,"1117 Fiske St",NA,NA,33.02,"fair",NA,"naturally_occurring",NA,"30.48 to 45.72 cm","Durham",NA,NA,NA,NA,NA,NA,NA
