"common_name","scientific_name","city","state","diameter_breast_height_CM","condition","native","diameter_breast_height_binned_CM","greater_metro","city_ID","tree_ID","planted_date","most_recent_observation","retired_date","most_recent_observation_type","longitude_coordinate","latitude_coordinate","location_type","zipcode","address","neighborhood","location_name","ward","district","overhead_utility","height_M","height_binned_M","percent_population"
"Quercus virginiana","Quercus virginiana","Miami","Florida",115.062,"good","naturally_occurring","more than 76.2 cm","Miami",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Quercus virginiana","Quercus virginiana","Miami","Florida",111.76,"good","naturally_occurring","more than 76.2 cm","Miami",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cabbage palmetto","Sabal palmetto","Miami","Florida",80.264,"excellent","naturally_occurring","more than 76.2 cm","Miami",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Quercus virginiana","Quercus virginiana","Miami","Florida",179.07,"good","naturally_occurring","more than 76.2 cm","Miami",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Quercus virginiana","Quercus virginiana","Miami","Florida",195.58,"good","naturally_occurring","more than 76.2 cm","Miami",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cabbage palmetto","Sabal palmetto","Miami","Florida",83.566,"excellent","naturally_occurring","more than 76.2 cm","Miami",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cabbage palmetto","Sabal palmetto","Miami","Florida",81.28,"excellent","naturally_occurring","more than 76.2 cm","Miami",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cabbage palmetto","Sabal palmetto","Miami","Florida",46.736,"excellent","naturally_occurring","45.72 to 60.96 cm","Miami",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cabbage palmetto","Sabal palmetto","Miami","Florida",70.612,"excellent","naturally_occurring","60.96 to 76.2 cm","Miami",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cabbage palmetto","Sabal palmetto","Miami","Florida",67.056,"excellent","naturally_occurring","60.96 to 76.2 cm","Miami",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cabbage palmetto","Sabal palmetto","Miami","Florida",71.374,"excellent","naturally_occurring","60.96 to 76.2 cm","Miami",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cabbage palmetto","Sabal palmetto","Miami","Florida",74.93,"excellent","naturally_occurring","60.96 to 76.2 cm","Miami",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cabbage palmetto","Sabal palmetto","Miami","Florida",94.996,"excellent","naturally_occurring","more than 76.2 cm","Miami",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cabbage palmetto","Sabal palmetto","Miami","Florida",51.816,"excellent","naturally_occurring","45.72 to 60.96 cm","Miami",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cabbage palmetto","Sabal palmetto","Miami","Florida",46.228,"excellent","naturally_occurring","45.72 to 60.96 cm","Miami",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cabbage palmetto","Sabal palmetto","Miami","Florida",77.978,"excellent","naturally_occurring","more than 76.2 cm","Miami",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Quercus virginiana","Quercus virginiana","Miami","Florida",123.444,"good","naturally_occurring","more than 76.2 cm","Miami",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Slash pine","Pinus elliottii","Miami","Florida",132.842,"fair","naturally_occurring","more than 76.2 cm","Miami",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Slash pine","Pinus elliottii","Miami","Florida",81.788,"good","naturally_occurring","more than 76.2 cm","Miami",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Slash pine","Pinus elliottii","Miami","Florida",75.184,"good","naturally_occurring","60.96 to 76.2 cm","Miami",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
