"city_ID","common_name","scientific_name","city","state","longitude_coordinate","latitude_coordinate","address","district","diameter_breast_height_CM","height_M","native","height_binned_M","diameter_breast_height_binned_CM","greater_metro","tree_ID","planted_date","most_recent_observation","retired_date","most_recent_observation_type","location_type","zipcode","neighborhood","location_name","ward","overhead_utility","condition","percent_population"
16861,"Jacaranda","Jacaranda acutifolia","Garden Grove","California",-117.9055101,33.7677915,"13442 Roberta Cir",2,60.96,147.6378,"introduced","more than 18.29 m","45.72 to 60.96 cm","GardenGrove",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16862,"Mexican fan palm","Washingtonia robusta","Garden Grove","California",-117.9231427,33.7678133,"13442 Sorrell Dr",2,60.96,328.084,"introduced","more than 18.29 m","45.72 to 60.96 cm","GardenGrove",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16863,"Mexican fan palm","Washingtonia robusta","Garden Grove","California",-117.9231676,33.7677193,"13442 Sorrell Dr",2,60.96,328.084,"introduced","more than 18.29 m","45.72 to 60.96 cm","GardenGrove",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16864,"Mexican fan palm","Washingtonia robusta","Garden Grove","California",-117.9231598,33.76776181,"13442 Sorrell Dr",2,60.96,328.084,"introduced","more than 18.29 m","45.72 to 60.96 cm","GardenGrove",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16871,"Norfolk island pine","Araucaria heterophylla","Garden Grove","California",-117.9350878,33.76744972,"13451 Havenwood Dr",9,45.72,147.6378,"introduced","more than 18.29 m","30.48 to 45.72 cm","GardenGrove",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16875,"Ornamental pear","Pyrus calleryana","Garden Grove","California",-117.9421634,33.76727819,"13451 Taft St",9,15.24,49.2126,"introduced","more than 18.29 m","0 to 15.24 cm","GardenGrove",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16878,"Chinese juniper","Juniperus chinensis","Garden Grove","California",-117.9359349,33.76744824,"13452 Ashwood St",9,60.96,98.4252,"introduced","more than 18.29 m","45.72 to 60.96 cm","GardenGrove",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16879,"Crape myrtle","Lagerstroemia indica","Garden Grove","California",-117.8979168,33.78523263,"13452 Dawn Ave",1,30.48,98.4252,"introduced","more than 18.29 m","15.24 to 30.48 cm","GardenGrove",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16883,"Cape chestnut","Calodendrum capense","Garden Grove","California",-117.8979586,33.78430921,"13452 Greentree Ave",1,15.24,49.2126,"introduced","more than 18.29 m","0 to 15.24 cm","GardenGrove",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16885,"Jacaranda","Jacaranda acutifolia","Garden Grove","California",-117.9055047,33.76749836,"13452 Roberta Cir",2,60.96,147.6378,"introduced","more than 18.29 m","45.72 to 60.96 cm","GardenGrove",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16886,"Jacaranda","Jacaranda acutifolia","Garden Grove","California",-117.9240946,33.7676008,"13452 Rockinghorse Rd",2,45.72,147.6378,"introduced","more than 18.29 m","30.48 to 45.72 cm","GardenGrove",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16889,"Carrotwood","Cupaniopsis anacardioides","Garden Grove","California",-117.9810268,33.7670713,"13456 Newland St",12,60.96,98.4252,"introduced","more than 18.29 m","45.72 to 60.96 cm","GardenGrove",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16890,"Mexican fan palm","Washingtonia robusta","Garden Grove","California",-117.920157,33.76744645,"13458 Harbor Blvd",2,60.96,328.084,"introduced","more than 18.29 m","45.72 to 60.96 cm","GardenGrove",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16894,"Pomegranate","Punica granatum","Garden Grove","California",-117.9633267,33.76700104,"13461 Galway St",12,30.48,98.4252,"introduced","more than 18.29 m","15.24 to 30.48 cm","GardenGrove",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
